"";"ID";"CAT_05";"CAT_07";"CAT_09";"CAT_13";"CAT_15";"CAT_17";"TA050042";"TA050043";"TA050595";"TA050631";"TA050127";"TA050769";"TA050712";"TA050715";"TA050716";"TA050678";"TA050785";"TA050809";"TA050793";"TA050777";"TA050825";"TA050817";"TA050798";"TA050394";"TA050371";"TA070042";"TA070043";"TA070570";"TA070602";"TA070127";"TA070740";"TA070683";"TA070686";"TA070687";"TA070649";"TA070756";"TA070777";"TA070764";"TA070748";"TA070793";"TA070785";"TA070769";"TA070368";"TA070344";"TA090043";"TA090044";"TA090612";"TA090655";"TA090136";"TA090799";"TA090739";"TA090742";"TA090743";"TA090705";"TA090815";"TA090836";"TA090823";"TA090807";"TA090852";"TA090844";"TA090828";"TA090385";"TA090361";"TA110044";"TA110045";"TA110699";"TA110743";"TA110137";"TA110915";"TA110829";"TA110832";"TA110833";"TA110793";"TA110931";"TA110952";"TA110939";"TA110923";"TA110968";"TA110960";"TA110944";"TA110462";"TA110351";"TA130043";"TA130044";"TA130719";"TA130763";"TA130136";"TA130948";"TA130852";"TA130855";"TA130856";"TA130813";"TA130961";"TA130982";"TA130969";"TA130861";"TA130998";"TA130990";"TA130977";"TA130482";"TA130350";"TA150043";"TA150044";"TA150731";"TA150776";"TA150128";"TA150970";"TA150869";"TA150872";"TA150873";"TA150826";"TA150986";"TA151007";"TA150994";"TA150978";"TA151023";"TA151015";"TA150999";"TA150491";"TA150352";"TA170058";"TA170059";"TA170790";"TA170416";"TA170183";"TA171827";"TA170909";"TA170912";"TA170913";"TA170866";"TA171869";"TA171885";"TA171835";"TA171861";"TA171877";"TA171840";"TA170389"
"872";872;NA;"IAC_07";"IAC_09";"IAC_13";"IAC_15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;0;7;52;0;0;0;0;0;0;0;0;0;0;0;97;5;2;1;1;0;7;12;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;5;2;2;5;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"873";873;NA;NA;NA;"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;97;1;0;7;1;0;0;0;0;0;0;0;0;0;0;0;6;5;4;97;1;0;7;60;0;0;0;0;0;0;0;0;0;0;0;6;5;2;1;5;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;5
"874";874;NA;NA;NA;NA;"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;96;1;0;7;10;0;0;0;0;0;0;0;0;0;0;0;0;5;4;8;1;0;7;8;5;5;5;0;0;0;0;0;0;0;5
"875";875;"IAC_05";"IAC_07";"IAC_09";"IAC_13";NA;NA;3;1;1;0;7;998;0;0;0;0;0;0;0;0;0;0;0;6;5;2;3;1;0;7;8;0;0;0;0;0;0;0;0;0;0;0;6;5;2;96;5;0;1;50;0;0;0;0;0;0;0;0;0;0;0;0;5;6;96;5;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;5;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"876";876;"IAC_05";"IAC_07";"IAC_09";"IAC_13";NA;NA;3;1;1;0;7;5;0;0;0;3;0;0;0;0;0;0;1;0;5;3;1;1;0;7;27;0;0;0;0;0;0;0;0;0;0;0;0;5;2;96;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;2;96;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;5;2;96;5;0;1;2;0;0;0;0;0;0;0;5;0;5;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"877";877;NA;"IAC_07";"IAC_09";NA;"IAC_15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;0;7;3;0;0;0;0;0;0;0;0;0;0;0;6;5;2;2;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;96;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;96;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"878";878;NA;NA;"IAC_09";"IAC_13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;0;7;45;0;0;0;0;0;0;0;0;0;0;0;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;5;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"879";879;"IAC_05";"IAC_07";"IAC_09";NA;NA;NA;2;1;1;0;7;20;0;0;0;0;0;0;0;0;0;0;0;0;5;2;2;5;0;1;5;0;0;0;0;0;0;0;0;0;0;0;99;5;1;96;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;5;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"880";880;NA;"IAC_07";"IAC_09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;0;7;998;0;0;0;0;0;0;0;0;0;0;0;0;5;2;2;1;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"881";881;"IAC_05";"IAC_07";"IAC_09";NA;NA;NA;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;96;5;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"882";882;NA;"IAC_07";"FTL_09";"IAC_13";NA;"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;96;0;0;3;20;0;0;0;0;0;0;0;0;0;0;0;0;1;1;96;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;5;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;96;3;0;1;7;0;0;0;0;0;0;0;0;0;0;5
"883";883;"IAC_05";"IAC_07";"IAC_09";NA;NA;NA;3;1;1;0;7;30;0;0;0;0;0;0;0;0;0;0;0;0;5;2;97;5;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;5;2;2;5;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;5;2;2;5;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"884";884;"IAC_05";NA;"IAC_09";"IAC_13";NA;NA;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;0;5;6;12;0;0;0;5;0;0;0;0;0;0;0;0;5;2;2;0;5;6;0;0;0;0;5;0;0;0;0;0;0;0;0;5;8;8;5;0;1;1;0;0;0;5;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"885";885;"IAC_05";"IAC_07";"IAC_09";"IAC_13";NA;NA;1;96;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;6;5;1;97;1;0;7;0;0;0;0;5;0;0;0;0;0;0;0;0;5;5;96;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;96;1;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;1;5;1;2;0;0;0;0;0;0;0;1;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"886";886;NA;NA;NA;NA;NA;"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;0;1;2;0;0;0;0;0;0;0;0;0;0;5
"887";887;"IAC_05";"IAC_07";"IAC_09";"IAC_13";NA;NA;1;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;5;3;3;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;5;3;1;5;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;5;2;96;5;0;1;3;0;0;0;5;0;0;0;0;0;0;0;0;5;2;2;1;0;1;3;0;0;0;0;0;0;0;7;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"888";888;NA;NA;NA;NA;NA;"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;1;0;1;0;0;0;0;0;0;0;0;0;0;0;5
"889";889;NA;NA;"IAC_09";"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;96;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;96;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;5;1;96;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;5;2;96;1;0;1;12;0;0;0;0;0;0;0;0;0;0;5
"890";890;NA;NA;NA;"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;5;1;96;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;5;1;96;3;0;1;3;0;0;0;0;0;0;0;0;0;0;5
"891";891;NA;NA;NA;NA;NA;"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;96;1;5;1;0;5;5;5;5;0;0;6;0;0;0;1
"892";892;NA;"IAC_07";"IAC_09";"IAC_13";"IAC_15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;5;2;96;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;97;96;5;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;5;6;96;5;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;1;6;96;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"893";893;NA;NA;"IAC_09";"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;1;0;3;998;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;2;5;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;5;6;96;5;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;5;6;96;1;0;1;10;0;0;0;0;0;0;0;0;0;0;5
"894";894;NA;NA;"IAC_09";"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;96;1;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;5;2;96;1;0;7;12;0;0;0;5;0;0;0;0;0;0;0;0;5;2;2;1;0;7;5;0;0;0;5;0;0;0;0;0;0;0;6;5;2;96;5;0;1;2;0;0;0;5;0;0;0;0;0;0;0;0;5;2;2;1;5;1;6;0;0;0;0;0;0;0;0;0;0;1
"895";895;NA;NA;NA;"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;96;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;11;5;1;2;0;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;6;96;3;5;3;0;0;0;0;0;0;0;0;0;0;0;1
"896";896;NA;NA;NA;"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;96;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;96;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;2;1;5;7;0;0;0;0;0;0;0;0;0;0;0;1
"897";897;NA;NA;NA;NA;"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;96;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;2;3;0;7;0;5;5;5;0;0;0;0;0;0;0;5
"898";898;NA;NA;NA;NA;NA;"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;5
"899";899;NA;NA;"IAC_09";"IAC_13";"IAC_15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;96;1;0;7;10;0;0;0;0;0;0;0;0;0;0;0;6;5;6;1;1;0;7;24;0;0;0;0;0;0;0;0;0;0;0;6;5;2;96;1;0;1;30;0;0;0;0;0;0;5;0;0;0;0;0;5;1;96;5;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"900";900;NA;NA;NA;"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;2;2;1;5;1;998;0;0;0;5;0;1;6;0;0;5;3;0;5;1;96;5;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;5;2;5;3;5;3;1;5;5;5;0;0;0;0;0;0;0;1
"901";901;NA;NA;NA;NA;"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;5
"902";902;"IAC_05";"IAC_07";"IAC_09";NA;NA;NA;1;6;0;0;1;30;0;0;0;0;0;0;0;0;0;0;0;0;5;6;6;0;0;1;52;0;0;0;0;0;0;0;0;0;0;0;99;5;6;6;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;5;6;96;0;0;1;80;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"903";903;"IAC_05";"IAC_07";"IAC_09";"IAC_13";NA;NA;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;96;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;96;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"904";904;NA;NA;NA;NA;NA;"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;96;3;0;1;0;0;0;0;0;0;0;0;0;0;0;5
"905";905;NA;NA;NA;NA;NA;"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;96;3;5;1;2;0;0;0;0;0;0;0;0;0;0;1
"906";906;NA;NA;NA;"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;96;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;96;0;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;5;1;2;5;0;1;12;0;0;0;0;0;0;0;0;0;0;5
"907";907;NA;NA;NA;"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;96;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;96;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;5;2;96;5;0;1;1;0;0;0;5;0;0;0;0;0;0;5
